model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,1,N/A,29.92,2.8185618889482718,2992,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,2,N/A,16.79,3.768881182127361,1679,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,3,N/A,9.92,4.615933385076402,992,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,4,N/A,7.69,4.967628017256532,769,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,5,N/A,6.04,5.281385699404946,604,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,shot_noise,1,N/A,10.14,4.608216303813307,1014,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,shot_noise,2,N/A,3.92,5.724318287040614,392,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,shot_noise,3,N/A,1.93,6.243246706226204,193,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.16,6.668583562102499,116,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.05,7.029383116130587,105,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,impulse_noise,1,N/A,46.02,1.9792199979854534,4602,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,impulse_noise,2,N/A,25.1,3.0134571805784973,2510,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,impulse_noise,3,N/A,8.94,4.373743706111666,894,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,impulse_noise,4,N/A,1.67,6.168239822870569,167,10000,2025-09-09 00:35:39
