model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,pixelate,3,N/A,1.65,7.3416199503065664,165,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,pixelate,4,N/A,1.38,7.323047052455854,138,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,pixelate,5,N/A,1.41,6.544212606888783,141,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,1,N/A,7.79,5.196537410156636,779,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,2,N/A,14.54,4.219673253312895,1454,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,3,N/A,19.71,3.668084718004058,1971,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,4,N/A,33.23,2.7161887567254563,3323,10000,2025-09-08 23:35:14
expert_0,multiplicativeShifted,1.0,0,DenseNet121,corruption,N/A,jpeg_compression,5,N/A,49.24,1.8754918575286865,4924,10000,2025-09-08 23:35:14
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,1,N/A,29.03,2.848224319989168,2903,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,2,N/A,16.28,3.8029056349887123,1628,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,3,N/A,9.78,4.634860506540613,978,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,4,N/A,7.57,4.976927727083616,757,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,gaussian_noise,5,N/A,6.05,5.277417511879643,605,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,shot_noise,1,N/A,9.73,4.62723875347572,973,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,shot_noise,2,N/A,3.94,5.701371325722223,394,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,shot_noise,3,N/A,2.0,6.194478155691413,200,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.17,6.592131928552555,117,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.05,6.915569836580301,105,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,impulse_noise,1,N/A,45.8,1.990691281572173,4580,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,impulse_noise,2,N/A,24.97,3.011968313893185,2497,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,impulse_noise,3,N/A,8.85,4.368954857693443,885,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,impulse_noise,4,N/A,1.59,6.139827003961877,159,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.14,6.638535650470589,114,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,defocus_blur,1,N/A,51.4,1.7260018089149571,5140,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,defocus_blur,2,N/A,48.87,1.8374716933769515,4887,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,defocus_blur,3,N/A,45.77,1.9713361021838611,4577,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,defocus_blur,4,N/A,29.55,2.810553846479971,2955,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,defocus_blur,5,N/A,17.24,3.7563459722301626,1724,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,motion_blur,1,N/A,54.68,1.5835704048977624,5468,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,motion_blur,2,N/A,54.52,1.6027244299272947,5452,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,motion_blur,3,N/A,53.54,1.6370047542113293,5354,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,motion_blur,4,N/A,52.48,1.6796696638759179,5248,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,motion_blur,5,N/A,51.21,1.7351961739455597,5121,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,zoom_blur,1,N/A,43.75,2.066403740569006,4375,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,zoom_blur,2,N/A,35.4,2.4992731613448904,3540,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,zoom_blur,3,N/A,20.95,3.47674269012258,2095,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,zoom_blur,4,N/A,11.53,4.487757664692553,1153,10000,2025-09-09 00:30:43
